"name","description","website"
"Markdown2","Get visually rich charts and diagrams into your documents with super low friction.","https://www.producthunt.com/r/CDEMASD3PHCKIQ?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Test+%28ID%3A+121058%29"
"MCQs Master AI","Based on the science of MCQs Creation, creates MCQs from text, PDF, Word, or photo.","https://www.producthunt.com/r/5ISR25MS742ML4?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Test+%28ID%3A+121058%29"
"MetaSurvey - «Tinder-like» Surveys","Put your customers in a critic's shoes before producing your new drop – use «Tinder-like» surveys",NULL
"My First User","My first user is a biweekly newsletter of popular posts (that allow self-promoting) in the indiehacking and saas community, allowing users to gain traction organically and get feedback rapidly.","https://www.producthunt.com/r/2QIQUFHWXMM7UX?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Test+%28ID%3A+121058%29"
"No Pain No Gain - LED Neon Sign","Illuminate your space with a vibrant 'No Pain No Gain' neon sign, a constant reminder of perseverance and dedication. Perfect for home gyms or workplaces, this design motivates you towards excellence and conquering challenges. Elevate your surroundings today!","https://www.producthunt.com/r/GZ6OSTAHXLPYLM?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Test+%28ID%3A+121058%29"
"Offer Letter","Our new AI powered platform allows you to practice behavioral and technical questions for Product, Finance, Consulting and Tech jobs!","https://www.producthunt.com/r/FHEIHWC7BV5OLX?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Test+%28ID%3A+121058%29"
"Only The Recipe","Only the recipe gets rid of any life story, background of the recipe, or other fluff no one wants. Simply enter the url of any recipe site and get the ingredients and directions. Thats it. You can start cooking faster and read less junk.","https://www.producthunt.com/r/G4INAFGLO2PO6F?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Test+%28ID%3A+121058%29"
"Perspectiva de Davis Romero","Introducción En la era actual de la inteligencia artificial, las herramientas de procesamiento del lenguaje natural han revolucionado la manera en que interactuamos con la tecnología.","https://www.producthunt.com/r/2FZ3FISPBIYJKO?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Test+%28ID%3A+121058%29"
"Productive Commerce","WooCommerce plugin offering Wishlist, Comparison, Quick View, MiniCart & more",NULL
"ProductLogz","A feedback management, Surveys, Roadmap & Changelog tool",NULL
"RateMyService ❤️","Get More 5-Star REVIEWS with our Email Signature Widgets! 💸💸 Agency/White-Label/CNAME Bundles!",NULL
"Releases - Changelog Software","Releases is a ridiculously simple approach to affordable changelog software",NULL
"Roadm.co","Customer feedback, product roadmap & changelog management",NULL
"Sam's List","Sam's List is a place to review, rate, and research accountants, bookkeepers, CPAs, and other tax professionals.","https://www.producthunt.com/r/PWGPIZ3V3BUDNN?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Test+%28ID%3A+121058%29"
"SkyRocket Google Reviews Website Widget","Display your Google Reviews on your website and with auto-updates weekly.",NULL
"Telescope","Scale your customer success team without increasing headcount.",NULL
"Virtual Art Gallery","Online art exhibitions are unlimited by reality and accessible to everyone. Share your art exhibitions freely and get instant visitors. Exhibit your art in pre-fabulous virtual 3D galleries. Upload your art, include information, and add direct links to buy.","https://www.producthunt.com/r/BIDWQJM4WJOGHX?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Test+%28ID%3A+121058%29"
"Vocal","Record and Send Voice Notes via Email. AI, transcription, CNAME, tracking, mobile support & more!",NULL
